9989;W78.9; Local NE;Inalação do conteúdo gástrico - local não especificado
11876;Z10.3; Exame geral de rotina de equipe esportiva;Exame geral de rotina de equipe esportiva
11877;Z10.8; Exame geral de rotina outr subpop definida;Exame geral de rotina de outra subpopulação definida
11878;Z11.0; Exame especial rastr doenc infecc intest;Exame especial de rastreamento de doenças infecciosas intestinais
11879;Z11.1; Exame especial rastr tuberc pulmonar;Exame especial de rastreamento de tuberculose pulmonar
11880;Z11.2; Exame especial rastr outr doenc bacter;Exame especial de rastreamento de outras doenças bacterianas
11881;Z11.3; Exame esp rastr infecc transm predom sexual;Exame especial de rastreamento de infecções de transmissão predominantemente sexual
11882;Z11.4; Exame especial rastr de HIV;Exame especial de rastreamento de vírus da imunodeficiência humana [HIV]
11883;Z11.5; Exame especial rastr outr doenc virais;Exame especial de rastreamento de outras doenças virais
11884;Z11.6; Exame esp rastr outr doenc protoz helmintos;Exame especial de rastreamento de outras doenças por protozoários e por helmintos
11885;Z11.8; Exame esp rastr outr doenc infecc e parasit;Exame especial de rastreamento de outras doenças infecciosas e parasitárias
11886;Z11.9; Exame esp rastr doenc infecc e parasit NE;Exame especial de rastreamento para doença infecciosa e parasitária não especificada
11887;Z12.0; Exame especial rastr neoplasia do estomago;Exame especial de rastreamento de neoplasia do estômago
11888;Z12.1; Exame especial rastr neoplasia trato intest;Exame especial de rastreamento de neoplasia do trato intestinal
11889;Z12.2; Exame especial rastr neoplasia org respirat;Exame especial de rastreamento de neoplasia de órgãos respiratórios
11890;Z12.3; Exame especial rastr de neoplasia de mama;Exame especial de rastreamento de neoplasia de mama
11891;Z12.4; Exame especial rastr de neoplasia colo utero;Exame especial de rastreamento de neoplasia do colo do útero
11892;Z12.5; Exame especial rastr de neoplasia prostata;Exame especial de rastreamento de neoplasia da próstata
11893;Z12.6; Exame especial rastr de neoplasia da bexiga;Exame especial de rastreamento de neoplasia da bexiga
11894;Z12.8; Exame especial rastr neoplasias outr localiz;Exame especial de rastreamento de neoplasias de outras localizações
11895;Z12.9; Exame especial rastr de neoplasia NE;Exame especial de rastreamento de neoplasia não especificada
11896;Z13.0; Exame esp rastr doenc sang org hem tran imun;Exame especial de rastreamento de doenças do sangue e dos órgãos hematopoéticos de alguns transtornos imunitários
11897;Z13.1; Exame especial rastr de diabetes mellitus;Exame especial de rastreamento de diabetes mellitus
11898;Z13.2; Exame especial rastr de transt nutricionais;Exame especial de rastreamento de transtornos nutricionais
11899;Z13.3; Exame especial rastr transt mentais comport;Exame especial de rastreamento de transtornos mentais e do comportamento
11900;Z13.4; Exame esp rastr alguns transt desenv infanc;Exame especial de rastreamento de alguns transtornos do desenvolvimento na infância
11901;Z13.5; Exame especial rastr doenc ouvidos olhos;Exame especial de rastreamento de doenças dos ouvidos e dos olhos
11902;Z13.6; Exame especial rastr doenc cardiovasculares;Exame especial de rastreamento de doenças cardiovasculares
11903;Z13.7; Exame esp rastr malform cong def anom cromos;Exame especial de rastreamento de malformações congênitas, deformidades e anomalias cromossômicas
11904;Z13.8; Exame especial rastr outr doenc transt espec;Exame especial de rastreamento de outras doenças e transtornos especificados
11905;Z13.9; Exame especial rastr NE;Exame especial de rastreamento não especificado
11906;Z20.0; Contato exposicao a doenc infecc intest;Contato com e exposição a doenças infecciosas intestinais
11907;Z20.1; Contato exposicao a tuberc;Contato com e exposição à tuberculose
11908;Z20.2; Contato exposicao infecc transm pred sexual;Contato com e exposição a infecções de transmissão predominantemente sexual
11909;Z20.3; Contato exposicao a raiva;Contato com e exposição à raiva
11910;Z20.4; Contato exposicao a rubeola;Contato com e exposição à rubéola
11911;Z20.5; Contato exposicao a hepatite viral;Contato com e exposição à hepatite viral
11912;Z20.6; Contato exposicao ao HIV;Contato com e exposição ao vírus da imunodeficiência humana [HIV]
11913;Z20.7; Contato expos pediculose acariase out infest;Contato com e exposição à pediculose, acaríase e outras infestações
11914;Z20.8; Contato exposicao outr doenc transmissiveis;Contato com e exposição a outras doenças transmissíveis
11915;Z20.9; Contato exposicao a doenc transmissivel NE;Contato com e exposição a doença transmissível não especificada
11916;Z21  ; Estado de infecc assintomatica p/HIV;Estado de infecção assintomática pelo vírus da imunodeficiência humana [HIV]
11917;Z22.0; Portador de febre tifoide;Portador de febre tifóide
11918;Z22.1; Portador de outr doenc infecc intestinais;Portador de outras doenças infecciosas intestinais
11919;Z22.2; Portador de difteria;Portador de difteria
11920;Z22.3; Portador de outr doenc bacter espec;Portador de outras doenças bacterianas especificadas
11921;Z22.4; Portador de infecc modo transm predom sexual;Portador de infecções com modo de transmissão predominantemente sexual
11922;Z22.5; Portador de hepatite viral;Portador de hepatite viral
11923;Z22.6; Portador infecc virus T-linfotropico tipo 1;Portador de infecção pelo vírus T-linfotrópico tipo 1 [HTLV-1]
11924;Z22.8; Portador de outr doenc infecc;Portador de outras doenças infecciosas
11925;Z22.9; Portador de doenc infecc NE;Portador de doença infecciosa não especificada
11926;Z23.0; Necess imunizacao somente colera;Necessidade de imunização somente contra cólera
11927;Z23.1; Necess imuniz somente febre tif paratifoide;Necessidade de imunização somente contra febre tifóide e paratifóide [TAB]
11928;Z23.2; Necess imunizacao contra tuberc;Necessidade de imunização contra tuberculose [BCG]
11929;Z23.3; Necess imunizacao contra a peste;Necessidade de imunização contra a peste
11930;Z23.4; Necess imunizacao contra a tularemia;Necessidade de imunização contra a tularemia
11931;Z23.5; Necess imunizacao somente contra o tetano;Necessidade de imunização somente contra o tétano
11932;Z23.6; Necess imunizacao somente contra a difteria;Necessidade de imunização somente contra a difteria
11933;Z23.7; Necess imunizacao somente contra coqueluche;Necessidade de imunização somente contra a coqueluche
11934;Z23.8; Vacinacao contra outr doenc bacter unicas;Vacinação contra outras doenças bacterianas únicas
11935;Z24.0; Necess imuniz contra a poliomielite;Necessidade de imunização contra a poliomielite
11936;Z24.1; Necess imuniz contra encef viral trans artr;Necessidade de imunização contra a encefalite viral transmitida por artrópodes
11937;Z24.2; Necess imuniz contra a raiva;Necessidade de imunização contra a raiva
11938;Z24.3; Necess imuniz contra a febre amarela;Necessidade de imunização contra a febre amarela
11939;Z24.4; Necess imuniz somente contra o sarampo;Necessidade de imunização somente contra o sarampo
11940;Z24.5; Necess imuniz somente contra a rubeola;Necessidade de imunização somente contra a rubéola
11941;Z24.6; Necess imuniz somente contra hepatite viral;Necessidade de imunização somente contra a hepatite viral
11942;Z25.0; Necess imuniz somente contra a caxumba;Necessidade de imunização somente contra a caxumba [parotidite epidêmica]
11943;Z25.1; Necess imuniz somente contra a influenza;Necessidade de imunização somente contra a influenza [gripe]
11944;Z25.8; Necess imuniz outr doenc virais unicas espec;Necessidade de imunização contra outras doenças virais únicas especificadas
11945;Z26.0; Necess imuniz contra a leishmaniose;Necessidade de imunização contra a leishmaniose
11946;Z26.8; Necess imuniz outr doenc infecc espec unicas;Necessidade de imunização contra outras doenças infecciosas especificadas únicas
11947;Z26.9; Necess imuniz contra doenc infecc NE;Necessidade de imunização contra doença infecciosa não especificada
11948;Z27.0; Necess imuniz contra colera febr tif paratif;Necessidade de imunização contra a cólera e as febres tifóide e paratifóides [Cólera + TAB]
11949;Z27.1; Necess imuniz difteria-pertussis-tetano comb;Necessidade de imunização associada contra a difteria-pertussis-tétano, combinada [DPT]
11950;Z27.2; Necess imuniz dift-pert-tet febr tif paratif;Necessidade de imunização contra a difteria-pertussis-tétano com febres tifóide e paratifóides [DPT + TAB]
11951;Z27.3; Necess imuniz difter-pertussis-tetano polio;Necessidade de imunização contra a difteria-pertussis-tétano com poliomielite [DPT + pólio]
11952;Z27.4; Necess imuniz sarampo-caxumba-rubeola;Necessidade de imunização contra o sarampo-caxumba-rubéola
11953;Z27.8; Necess imuniz combinacoes de doenc infecc;Necessidade de imunização contra outras combinações de doenças infecciosas
11954;Z27.9; Necess imuniz combinacoes NE de doenc infecc;Necessidade de imunização contra combinações não especificadas de doenças infecciosas
11955;Z28.0; Imuniz nao realizada p/contra-indicacao;Imunização não realizada por contra-indicação
11956;Z28.1; Imuniz nao real decis pac crenc grup pressao;Imunização não realizada por decisão do paciente devida à crença ou a grupo de pressão
11957;Z28.2; Imuniz nao real decis pac razoes outr e NE;Imunização não realizada por decisão do paciente devida a razões outras e às não especificadas
11958;Z28.8; Imuniz nao realizada p/outr razoes;Imunização não realizada por outras razões
11959;Z28.9; Imuniz nao realizada p/razoes NE;Imunização não realizada por razões não especificadas
11960;Z29.0; Isolamento;Isolamento
11961;Z29.1; Imunoterapia profilatica;Imunoterapia profilática
11962;Z29.2; Outr quimioterapias profilaticas;Outras quimioterapias profiláticas
11963;Z29.8; Outr medidas profilaticas espec;Outras medidas profiláticas especificadas
11964;Z29.9; Medida profilatica NE;Medida profilática não especificada
11965;Z30.0; Aconselhamento geral sobre contracepcao;Aconselhamento geral sobre contracepção
11966;Z30.1; Insercao de disp anticoncepcional;Inserção de dispositivo anticoncepcional (intra-uterino)
11967;Z30.2; Esterilizacao;Esterilização
11968;Z30.3; Extracao menstrual;Extração menstrual
11969;Z30.4; Supervisao uso medic anticoncepcionais;Supervisão do uso de medicamentos anticoncepcionais
11970;Z30.5; Supervisao de disp anticoncepcional;Supervisão de dispositivo anticoncepcional (intra-uterino)
11971;Z30.8; Outr proced anticoncepcional;Outro procedimento anticoncepcional
11972;Z30.9; Proced anticoncepcional NE;Procedimento anticoncepcional não especificado
11973;Z31.0; Tuboplast vasoplast apos esteriliz previa;Tuboplastia ou vasoplastia após esterilização prévia
11974;Z31.1; Inseminacao artificial;Inseminação artificial
11975;Z31.2; Fecundacao in vitro;"Fecundação ""in vitro"""
11976;Z31.3; Outr metodos assistidos de fertilizacao;Outros métodos assistidos de fertilização
11977;Z31.4; Invest e testes c/relacao a procriacao;Investigação e testes com relação à procriação
11978;Z31.5; Aconselhamento genetico;Aconselhamento genético
11979;Z31.6; Aconselhamento geral sobre a procriacao;Aconselhamento geral sobre a procriação
11980;Z31.8; Outr medida espec de procriacao;Outra medida especificada de procriação
11981;Z31.9; Medida procriativa NE;Medida procriativa não especificada
11982;Z32.0; Gravidez nao confirmada;Gravidez (ainda) não confirmada
11983;Z32.1; Gravidez confirmada;Gravidez confirmada
11984;Z33  ; Gravidez como achado casual;Gravidez como achado casual
11985;Z34.0; Supervisao de primeira gravidez normal;Supervisão de primeira gravidez normal
11986;Z34.8; Supervisao de outr gravidez normal;Supervisão de outra gravidez normal
11987;Z34.9; Supervisao de gravidez normal NE;Supervisão de gravidez normal, não especificada
11988;Z35.0; Supervisao gravidez c/historia esterilidade;Supervisão de gravidez com história de esterilidade
11989;Z35.1; Supervisao de gravidez c/historia de aborto;Supervisão de gravidez com história de aborto
11990;Z35.2; Superv grav outr antec procriacao problem;Supervisão de gravidez com outros antecedentes de procriação problemática
11991;Z35.3; Superv grav historia assist pre-natal insuf;Supervisão de gravidez com história de assistência pré-natal insuficiente
11992;Z35.4; Supervisao gravidez c/grande multiparidade;Supervisão de gravidez com grande multiparidade
11993;Z35.5; Supervisao de primigesta idosa;Supervisão de primigesta idosa
11994;Z35.6; Supervisao de primigesta muito jovem;Supervisão de primigesta muito jovem
11995;Z35.7; Supervisao gravidez alto risco dev probl soc;Supervisão de gravidez de alto risco devido a problemas sociais
11996;Z35.8; Supervisao de outr gravidezes de alto risco;Supervisão de outras gravidezes de alto risco
11997;Z35.9; Supervisao NE de gravidez de alto risco;Supervisão não especificada de gravidez de alto risco
11998;Z36.0; Rastr de anomalias cromossomicas;Rastreamento de anomalias cromossômicas
11999;Z36.1; Rastr pre-natal taxa elev alfa-fetoproteinas;Rastreamento pré-natal de taxa elevada de alfa-fetoproteínas
12000;Z36.2; Outr rastr pre-natais p/amniocentese;Outros rastreamentos pré-natais por amniocentese
12001;Z36.3; Rastr pre-nat malform ultrass outr meios fis;Rastreamento pré-natal de malformações por ultrassom e outros meios físicos
12002;Z36.4; Rastr pre-nat ret cresc fet ultr out met fis;Rastreamento pré-natal do retardo de crescimento do feto por ultrassom e outros métodos físicos
12003;Z36.5; Rastr pre-natal de isoimunizacao;Rastreamento pré-natal de isoimunização
12004;Z36.8; Outr rastr pre-natais;Outros rastreamentos pré-natais
12005;Z36.9; Rastr pre-natal NE;Rastreamento pré-natal não especificado
12006;Z37.0; Nascimento unico nativivo;Nascimento único, nativivo [nado-vivo]
12007;Z37.1; Nascimento unico natimorto;Nascimento único, natimorto [feto-morto]
12008;Z37.2; Nascimento gemelar gemeos nativivos;Nascimento gemelar, gêmeos (ambos) nativivos [nado-vivos]
12009;Z37.3; Nasc gemelar um nativivo o outr natimorto;Nascimento gemelar, um dos gêmeos, nativivo [nado-vivo], o outro, natimorto [feto-morto]
12010;Z37.4; Nascimento gemelar gemeos natimortos;Nascimento gemelar, gêmeos natimortos [feto-mortos]
12011;Z37.5; Outr nascimentos mult todos nativivos;Outros nascimentos múltiplos, todos nativivos [nado-vivos]
12012;Z37.6; Outr nascimentos mult alguns nativivos;Outros nascimentos múltiplos, alguns nativivos [nado-vivos]
12013;Z37.7; Outr nascimentos mult todos natimortos;Outros nascimentos múltiplos, todos natimortos [feto-mortos]
12014;Z37.9; Nascimento NE;Nascimento não especificado
12015;Z38.0; Crianca unica nascida em hospital;Criança única, nascida em hospital
12016;Z38.1; Crianca unica nascida fora do hospital;Criança única, nascida fora do hospital
12017;Z38.2; Crianca unica NE quanto ao local nascimento;Criança única, não especificado quanto ao local de nascimento
12018;Z38.3; Gemeos nascidos em hospital;Gêmeos (duplos), nascidos em hospital
12019;Z38.4; Gemeos nascidos fora de hospital;Gêmeos (duplos), nascidos fora de hospital
12020;Z38.5; Gemeos NE quanto ao local de nascimento;Gêmeos, não especificados quanto ao local de nascimento
12021;Z38.6; Outr nascimentos mult em hospital;Outros nascimentos múltiplos, em hospital
12022;Z38.7; Outr nascimentos mult fora de hospital;Outros nascimentos múltiplos, fora de hospital
12023;Z38.8; Outr nascimentos mult NE quanto local nasc;Outros nascimentos múltiplos, não especificados quanto ao local de nascimento
12024;Z39.0; Assist e exame imediatamente apos o parto;Assistência e exame imediatamente após o parto
12025;Z39.1; Assist e exame da mae nutriz;Assistência e exame da mãe nutriz
12026;Z39.2; Seguimento pos-parto de rotina;Seguimento pós-parto de rotina
12027;Z40.0; Cirurg profilat fat risco rel neopl malig;Cirurgia profilática para fatores de risco relacionados com neoplasias malignas
12028;Z40.8; Outr cirurgia profilatica;Outra cirurgia profilática
12029;Z40.9; Cirurgia profilatica NE;Cirurgia profilática não especificada
12030;Z41.0; Transplante de cabelo;Transplante de cabelo
12031;Z41.1; Outr interv cirurg plast p/razoes esteticas;Outras intervenções de cirurgia plástica por razões estéticas
12032;Z41.2; Circuncisao ritual e de rotina;Circuncisão ritual e de rotina
12033;Z41.3; Perfuracao do lobo da orelha;Perfuração do lobo da orelha
12034;Z41.8; Outr proced outr prop exc cuidados de saude;Outros procedimentos para outros propósitos exceto cuidados de saúde
12035;Z41.9; Proced NE p/outr prop exc cuidados de saude;Procedimentos não especificado para outros propósitos exceto cuidados de saúde
12036;Z42.0; Seguim envolv cirurg plast cabeca pescoco;Seguimento envolvendo cirurgia plástica da cabeça e do pescoço
12037;Z42.1; Seguimento envolv cirurgia plastica de mama;Seguimento envolvendo cirurgia plástica de mama
12038;Z42.2; Seguim envolv cirurg plast outr part tronco;Seguimento envolvendo cirurgia plástica de outras partes do tronco
12039;Z42.3; Seguim envolv cirurg plast extrem super;Seguimento envolvendo cirurgia plástica das extremidades superiores
12040;Z42.4; Seguim envolv cirurg plast extrem infer;Seguimento envolvendo cirurgia plástica das extremidades inferiores
12041;Z42.8; Seguim envolv cirurg plast outr partes corpo;Seguimento envolvendo cirurgia plástica de outras partes do corpo
12042;Z42.9; Seguimento envolv cirurgia plastica NE;Seguimento envolvendo cirurgia plástica não especificada
12043;Z43.0; Cuidados a traqueostomia;Cuidados à traqueostomia
12044;Z43.1; Cuidados a gastrostomia;Cuidados à gastrostomia
12045;Z43.2; Cuidados a ileostomia;Cuidados à ileostomia
12046;Z43.3; Cuidados a colostomia;Cuidados à colostomia
12047;Z43.4; Cuidados outr orif artificiais tubo digest;Cuidados a outros orifícios artificiais do tubo digestivo
12048;Z43.5; Cuidados a cistostomia;Cuidados à cistostomia
12049;Z43.6; Cuidados outr orif artificais vias urinarias;Cuidados a outros orifícios artificiais das vias urinárias
12050;Z43.7; Cuidados a vagina artificial;Cuidados à vagina artificial
12051;Z43.8; Cuidados a outr orificios artificiais;Cuidados a outros orifícios artificiais
12052;Z43.9; Cuidados a orificio artificial NE;Cuidados a orifício artificial não especificado
12053;Z44.0; Colocacao e ajustamento de braco artificial;Colocação e ajustamento de braço artificial (parcial) (total)
12054;Z44.1; Colocacao e ajustamento de perna artificial;Colocação e ajustamento de perna artificial (parcial) (total)
12055;Z44.2; Colocacao e ajustamento de olho artificial;Colocação e ajustamento de olho artificial
12056;Z44.3; Colocacao e ajustamento protese externa mama;Colocação e ajustamento de prótese externa de mama
12057;Z44.8; Colocacao e ajustamento outr ap protese ext;Colocação e ajustamento de outros aparelhos de prótese externa
12058;Z44.9; Colocacao e ajustamento ap protese ext NE;Colocação e ajustamento de aparelho de prótese externa não especificado
12059;Z45.0; Ajustamento e manuseio marca-passo cardiaco;Ajustamento e manuseio de marca-passo cardíaco
12060;Z45.1; Ajustamento e manuseio de bomba de infusao;Ajustamento e manuseio de bomba de infusão
12061;Z45.2; Ajustamento e manuseio disp acesso vascular;Ajustamento e manuseio de dispositivo de acesso vascular
12062;Z45.3; Ajustamento e manuseio disp implant audicao;Ajustamento e manuseio de dispositivo implantado de audição
12063;Z45.8; Ajustamento e manuseio outr disp implantados;Ajustamento e manuseio de outros dispositivos implantados
12064;Z45.9; Ajustamento e manuseio de disp implantado NE;Ajustamento e manuseio de dispositivo implantado não especificado
12065;Z46.0; Colocacao ajustamento oculos lentes contato;Colocação e ajustamento de óculos e lentes de contato
12066;Z46.1; Colocacao e ajustamento de aparelho auditivo;Colocação e ajustamento de aparelho auditivo
12067;Z46.2; Coloc ajust outr ap rel sist nerv org sentid;Colocação e ajustamento de outros aparelhos relacionados com o sistema nervoso e órgãos dos sentidos
12068;Z46.3; Colocacao ajustamento disp protese dentaria;Colocação e ajustamento de dispositivo de prótese dentária
12069;Z46.4; Colocacao e ajustamento aparelho ortodontico;Colocação e ajustamento de aparelho ortodôntico
12070;Z46.5; Coloc ajust ileostomia e outr disp intest;Colocação e ajustamento de ileostomia e de outros dispositivos intestinais
12071;Z46.6; Colocacao e ajustamento de protese urinaria;Colocação e ajustamento de prótese urinária
12072;Z46.7; Colocacao e ajustamento aparelho ortopedico;Colocação e ajustamento de aparelho ortopédico
12073;Z46.8; Colocacao e ajustamento outr aparelhos espec;Colocação e ajustamento de outros aparelhos especificados
12074;Z46.9; Colocacao e ajustamento de aparelho NE;Colocação e ajustamento de aparelho não especificado
12075;Z47.0; Seguim env rem placa frat outr disp fix int;Seguimento envolvendo remoção de placa de fratura e outros dispositivos de fixação interna
12076;Z47.8; Outr seguimentos ortopedicos espec;Outros seguimentos ortopédicos especificados
12077;Z47.9; Seguimento ortopedico NE;Seguimento ortopédico não especificado
12078;Z48.0; Cuidados a curativos e suturas cirurgicas;Cuidados a curativos e suturas cirúrgicas
12079;Z48.8; Outr seguimento cirurgico espec;Outro seguimento cirúrgico especificado
12080;Z48.9; Seguimento cirurgico NE;Seguimento cirúrgico não especificado
12081;Z49.0; Cuidado preparatorio p/dialise;Cuidado preparatório para diálise
12082;Z49.1; Dialise extracorporea;Diálise extracorpórea
12083;Z49.2; Outr dialises;Outras diálises
12084;Z50.0; Reabilitacao cardiaca;Reabilitação cardíaca
12085;Z50.1; Outr fisioterapia;Outra fisioterapia
12086;Z50.2; Reabilitacao de alcoolatra;Reabilitação de alcoólatra
12087;Z50.3; Reabilitacao de toxicodependentes;Reabilitação de toxicodependentes
12088;Z50.4; Psicoterapia NCOP;Psicoterapia, não classificada em outra parte
12089;Z50.5; Reabilitacao da linguagem;Reabilitação da linguagem
12090;Z50.6; Treinamento ortoptico;Treinamento ortóptico
12091;Z50.7; Terapia ocupacional reabilit vocacional NCOP;Terapia ocupacional e reabilitação vocacional não classificada em outra parte
12092;Z50.8; Cuidados envolv uso de outr proced reabilit;Cuidados envolvendo uso de outros procedimentos de reabilitação
12093;Z50.9; Cuidados envolv uso de proced reabilit NE;Cuidados envolvendo uso de procedimento de reabilitação não especificado
12094;Z51.0; Sessao de radioterapia;Sessão de radioterapia
12095;Z51.1; Sessao de quimioterapia p/neoplasia;Sessão de quimioterapia por neoplasia
12096;Z51.2; Outr quimioterapia;Outra quimioterapia
12097;Z51.3; Transfusao de sangue s/diagn registrado;Transfusão de sangue, sem diagnóstico registrado
12098;Z51.4; Cuidado preparatorio p/trat subsequente NCOP;Cuidado preparatório para tratamento subsequente não classificado em outra parte
12099;Z51.5; Cuidado paliativo;Cuidado paliativo
12100;Z51.6; Dessensibilizacao a alergenos;Dessensibilização a alérgenos
12101;Z51.8; Outr cuidado medico espec;Outro cuidado médico especificado
12102;Z51.9; Cuidado medico NE;Cuidado médico não especificado
12103;Z52.0; Doador de sangue;Doador de sangue
12104;Z52.1; Doador de pele;Doador de pele
12105;Z52.2; Doador de osso;Doador de osso
12106;Z52.3; Doador de medula ossea;Doador de medula óssea
12107;Z52.4; Doador de rim;Doador de rim
12108;Z52.5; Doador de cornea;Doador de córnea
12109;Z52.6; Doador de figado;Doador de fígado
12110;Z52.7; Doador de coracao;Doador de coração
12111;Z52.8; Doador de outr orgaos ou tec;Doador de outros órgãos ou tecidos
12112;Z52.9; Doador de orgao ou tec NE;Doador de órgão ou tecido não especificado
12113;Z53.0; Proced nao realizado dev contra-indicacao;Procedimento não realizado devido à contra-indicação
12114;Z53.1; Proc n real dev dec pac raz crenc grup press;Procedimento não realizado devido à decisão do paciente por razões de crença ou grupo de pressão
12115;Z53.2; Proced n realiz dev dec pac outr razoes e NE;Procedimento não realizado devido à decisão do paciente por outras razões e as não especificadas
12116;Z53.8; Proced nao realizado p/outr razoes;Procedimento não realizado por outras razões
12117;Z53.9; Proced nao realizado p/razao NE;Procedimento não realizado por razão não especificada
12118;Z54.0; Convalescenca apos cirurgia;Convalescença após cirurgia
12119;Z54.1; Convalescenca apos radioterapia;Convalescença após radioterapia
12120;Z54.2; Convalescenca apos quimioterapia;Convalescença após quimioterapia
12121;Z54.3; Convalescenca apos psicoterapia;Convalescença após psicoterapia
12122;Z54.4; Convalescenca apos tratamento de frat;Convalescença após tratamento de fratura
12123;Z54.7; Convalescenca apos tratamento combinado;Convalescença após tratamento combinado
12124;Z54.8; Convalescenca apos outr tratamento;Convalescença após outro tratamento
12125;Z54.9; Convalescenca apos tratamento NE;Convalescença após tratamento não especificado
12126;Z55.0; Analfabetismo e baixa escolaridade;Analfabetismo e baixa escolaridade
12127;Z55.1; Escolarizacao nao disponivel e impossivel;Escolarização não disponível e impossível
12128;Z55.2; Reprovacao em exames;Reprovação em exames
12129;Z55.3; Maus resultados escolares;Maus resultados escolares
12130;Z55.4; Ma adaptacao escolar e dific c/prof colegas;Má adaptação escolar e dificuldades com professores e colegas
12131;Z55.8; Outr probl relac educacao e alfabetizacao;Outros problemas relacionados com a educação e com a alfabetização
12132;Z55.9; Problemas NE relac educacao e alfabetizacao;Problemas não especificados relacionados com a educação e com a alfabetização
12133;Z56.0; Desemprego NE;Desemprego não especificado
12134;Z56.1; Mudanca de emprego;Mudança de emprego
12135;Z56.2; Ameaca de perda de emprego;Ameaça de perda de emprego
12136;Z56.3; Ritmo de trabalho penoso;Ritmo de trabalho penoso
12137;Z56.4; Desacordo c/patrao e colegas de trabalho;Desacordo com patrão e colegas de trabalho
12138;Z56.5; Ma adaptacao ao trabalho;Má adaptação ao trabalho
12139;Z56.6; Outr dific fisicas mentais relac ao trabalho;Outras dificuldades físicas e mentais relacionadas ao trabalho
12140;Z56.7; Outr problemas e os NE relac emprego;Outros problemas e os não especificados relacionados com o emprego
12141;Z57.0; Exposicao ocupacional ao ruido;Exposição ocupacional ao ruído
12142;Z57.1; Exposicao ocupacional a radiacao;Exposição ocupacional à radiação
12143;Z57.2; Exposicao ocupacional a poeira;Exposição ocupacional à poeira (pó)
12144;Z57.3; Exposicao ocupacional a outr contam do ar;Exposição ocupacional a outros contaminantes do ar
12145;Z57.4; Exposicao ocupacional agentes toxicos agric;Exposição ocupacional a agentes tóxicos na agricultura
12146;Z57.5; Exposic ocupac agentes toxicos outr industr;Exposição ocupacional a agentes tóxicos em outras indústrias
12147;Z57.6; Exposicao ocupacional temperaturas extremas;Exposição ocupacional a temperaturas extremas
12148;Z57.7; Exposicao ocupacional a vibracao;Exposição ocupacional à vibração
12149;Z57.8; Exposicao ocupacional outr fatores de risco;Exposição ocupacional a outros fatores de risco
12150;Z57.9; Exposicao ocupacional a fator de risco NE;Exposição ocupacional a fator de risco não especificado
12151;Z58.0; Exposicao ao ruido;Exposição ao ruído
12152;Z58.1; Exposicao a poluicao atmosferica;Exposição à poluição atmosférica
12153;Z58.2; Exposicao a poluicao da agua;Exposição à poluição da água
12154;Z58.3; Exposicao a poluicao do solo;Exposição à poluição do solo
12155;Z58.4; Exposicao a radiacao;Exposição à radiação
12156;Z58.5; Exposicao a outr poluicoes;Exposição a outras poluições
12157;Z58.6; Agua potavel insuficiente;Água potável insuficiente
12158;Z58.7; Exposição à fumaça de tabaco;Exposição à fumaça de tabaco
12159;Z58.8; Outr problemas relac ambiente fisico;Outros problemas relacionados com o ambiente físico
12160;Z58.9; Problema NE relacionado ambiente fisico;Problema não especificado relacionado com o ambiente físico
12161;Z59.0; Falta de domicilio fixo;Falta de domicílio fixo
12162;Z59.1; Habitacao inadequada;Habitação inadequada
12163;Z59.2; Desacordo vizinhos locatarios proprietarios;Desacordo com vizinhos, locatários e proprietários
12164;Z59.3; Probl relac vida em instituicao residencial;Problemas relacionados com a vida em instituição residencial
12165;Z59.4; Falta de alimentacao adequada;Falta de alimentação adequada
12166;Z59.5; Pobreza extrema;Pobreza extrema
12167;Z59.6; Baixo rendimento;Baixo rendimento
12168;Z59.7; Seguro social medidas bem-estar social insuf;Seguro social e medidas de bem-estar social insuficientes
12169;Z59.8; Outr probl relac habitacao e circunst econom;Outros problemas relacionados com a habitação e com as circunstâncias econômicas
12170;Z59.9; Circunstancias NE economicas ou de habitacao;Circunstâncias não especificadas econômicas ou de habitação
12171;Z60.0; Probl adaptacao transicoes do ciclo de vida;Problemas de adaptação às transições do ciclo de vida
12172;Z60.1; Situacao parental atipica;Situação parental atípica
12173;Z60.2; Viver so;Viver só
12174;Z60.3; Dificuldade de aculturacao;Dificuldade de aculturação
12175;Z60.4; Exclusao e rejeicao sociais;Exclusão e rejeição sociais
12176;Z60.5; Objeto discriminacao perseguicao percebidas;Objeto de discriminação e perseguição percebidas
12177;Z60.8; Outr problemas relacionados c/o meio social;Outros problemas relacionados com o meio social
12178;Z60.9; Problema NE relacionado c/o meio social;Problema não especificado relacionado com o meio social
12179;Z61.0; Perda de relacao afetiva na infancia;Perda de relação afetiva na infância
12180;Z61.1; Remocao do lar na infancia;Remoção do lar na infância
12181;Z61.2; Padrao alterado relacoes familiares infancia;Padrão alterado de relações familiares na infância
12182;Z61.3; Eventos orig perda auto-estima na infancia;Eventos que originam a perda de auto-estima na infância
12183;Z61.4; Probl rel abuso sex aleg crianca p/pess grup;Problemas relacionados com abuso sexual alegado de uma criança por uma pessoa de dentro de seu grupo
12184;Z61.5; Probl rel abus sex crianca p/pess  fora grup;Problemas relacionados com abuso sexual alegado de uma criança por pessoa de fora de seu grupo
12185;Z61.6; Probl relac c/abuso fisico alegado crianca;Problemas relacionados com abuso físico alegado da criança
12186;Z61.7; Experiencia pessoal amedrontadora infancia;Experiência pessoal amedrontadora na infância
